"","name","followers","popularity","uri","link","genres"
"2153","Little Birdy",31134,38,"spotify:artist:3h18aXqdmm2F13t6LIbTpq","https://api.spotify.com/v1/artists/3h18aXqdmm2F13t6LIbTpq","australian alternative rock,australian indie,australian rock,perth indie"
"2154","Karnivool",140226,50,"spotify:artist:6rX8AFY10dsJkJsv23Z9Um","https://api.spotify.com/v1/artists/6rX8AFY10dsJkJsv23Z9Um","alternative metal,australian alternative rock,djent,progressive metal"
"2155","Garbage",784903,62,"spotify:artist:6S0GHTqz5sxK5f9HtLXn9q","https://api.spotify.com/v1/artists/6S0GHTqz5sxK5f9HtLXn9q","alternative dance,alternative rock,dance pop,electronic rock,electronica,lilith,permanent wave,pop rock,rock"
"2156","The Wrights",500,9,"spotify:artist:6eUSk3hSXQB15Z9MwPE21k","https://api.spotify.com/v1/artists/6eUSk3hSXQB15Z9MwPE21k",NA
"2157","The Cat Empire",278809,59,"spotify:artist:023YMawCG3OvACmRjWxLWC","https://api.spotify.com/v1/artists/023YMawCG3OvACmRjWxLWC","australian reggae fusion,australian ska,ska jazz"
"2158","Kylie Minogue",1111055,73,"spotify:artist:4RVnAU35WRWra6OZ3CbbMA","https://api.spotify.com/v1/artists/4RVnAU35WRWra6OZ3CbbMA","australian dance,australian pop,dance pop,disco house,electropop,eurodance,europop,new wave pop,pop,pop rock"
"2159","Los Lobos",92554,61,"spotify:artist:6OWapcJm9xd55ci9CYbAuT","https://api.spotify.com/v1/artists/6OWapcJm9xd55ci9CYbAuT","roots rock"
"2160","Bob Seger",1092317,71,"spotify:artist:485uL27bPomh29R4JmQehQ","https://api.spotify.com/v1/artists/485uL27bPomh29R4JmQehQ","album rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,soft rock"
"2161","Dave Dobbyn",44774,53,"spotify:artist:5bYfbDXaMVCxEt7hOAvEWc","https://api.spotify.com/v1/artists/5bYfbDXaMVCxEt7hOAvEWc","kiwi rock,nz singer-songwriter,polynesian pop"
"2162","Mel & Kim",56993,43,"spotify:artist:4k7b3DWqBnYpobDWbNWLdM","https://api.spotify.com/v1/artists/4k7b3DWqBnYpobDWbNWLdM","new wave pop"
"2163","Kim Wilde",360993,62,"spotify:artist:73a6pNH4YtLNgDbPQwXveo","https://api.spotify.com/v1/artists/73a6pNH4YtLNgDbPQwXveo","dance rock,europop,new romantic,new wave,new wave pop,soft rock"
"2164","The Bangles",760781,67,"spotify:artist:51l0uqRxGaczYr4271pVIC","https://api.spotify.com/v1/artists/51l0uqRxGaczYr4271pVIC","album rock,dance rock,europop,jangle pop,mellow gold,new romantic,new wave,new wave pop,paisley underground,pop rock,rock,soft rock,synthpop"
"2165","ICEHOUSE",213376,57,"spotify:artist:3IUisqn0mluZR0LITs8Sqk","https://api.spotify.com/v1/artists/3IUisqn0mluZR0LITs8Sqk","australian rock,dance rock,mellow gold,new romantic,new wave,new wave pop,sophisti-pop,synthpop"
"2166","Paul Lekakis",1597,30,"spotify:artist:5T5nmu5zNxNJHGdWMfcUkx","https://api.spotify.com/v1/artists/5T5nmu5zNxNJHGdWMfcUkx","hi-nrg"
"2167","Europe",952808,69,"spotify:artist:7Js6Lde8thlIHXggv2SCBz","https://api.spotify.com/v1/artists/7Js6Lde8thlIHXggv2SCBz","album rock,glam metal,hard rock,rock,swedish hard rock"
"2168","Whitney Houston",5907066,82,"spotify:artist:6XpaIBNiVzIetEPCWDvAFP","https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP","dance pop,pop,urban contemporary"
"2169","Starship",563869,69,"spotify:artist:0kObWap02DEg9EAJ3PBxzf","https://api.spotify.com/v1/artists/0kObWap02DEg9EAJ3PBxzf","album rock,dance rock,mellow gold,new romantic,new wave,new wave pop,soft rock"
"2170","Angry Anderson",1656,33,"spotify:artist:2lyDLsnU3pS26GoJzrppCS","https://api.spotify.com/v1/artists/2lyDLsnU3pS26GoJzrppCS","australian rock"
"2171","The Party Boys",6159,29,"spotify:artist:1s64XtBG170B6uqwJDBGzc","https://api.spotify.com/v1/artists/1s64XtBG170B6uqwJDBGzc","australian rock"
"2172","Boris Gardiner",9263,40,"spotify:artist:2fV23bDf2vC1f49t5j6wtW","https://api.spotify.com/v1/artists/2fV23bDf2vC1f49t5j6wtW","lovers rock,rock steady"
"2173","John Farnham",185577,62,"spotify:artist:1QxaPWG1POM8Ul6WwsHq4y","https://api.spotify.com/v1/artists/1QxaPWG1POM8Ul6WwsHq4y","australian pop,australian rock"
"2174","Bon Jovi",8370312,82,"spotify:artist:58lV9VcRSjABbAbfWS6skp","https://api.spotify.com/v1/artists/58lV9VcRSjABbAbfWS6skp","glam metal,rock"
"2175","ICEHOUSE",213376,57,"spotify:artist:3IUisqn0mluZR0LITs8Sqk","https://api.spotify.com/v1/artists/3IUisqn0mluZR0LITs8Sqk","australian rock,dance rock,mellow gold,new romantic,new wave,new wave pop,sophisti-pop,synthpop"
"2176","Pseudo Echo",36922,39,"spotify:artist:0FDW3axHactZo8HU0OnNVy","https://api.spotify.com/v1/artists/0FDW3axHactZo8HU0OnNVy","australian rock,dance rock,new romantic,new wave,new wave pop,synthpop"
"2177","George Michael",2682981,76,"spotify:artist:19ra5tSw0tWufvUp8GotLo","https://api.spotify.com/v1/artists/19ra5tSw0tWufvUp8GotLo","dance rock,new wave pop,soft rock"
"2178","Aretha Franklin",2370929,76,"spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok","https://api.spotify.com/v1/artists/7nwUJBm0HE4ZxD3f5cy5ok","classic soul,jazz blues,memphis soul,soul,southern soul"
"2179","Midnight Oil",503139,64,"spotify:artist:72KyoXzp0NOQij6OcmZUxk","https://api.spotify.com/v1/artists/72KyoXzp0NOQij6OcmZUxk","australian rock,dance rock,rock"
"2180","Michael Jackson",16057649,85,"spotify:artist:3fMbdgg4jU18AjLCKBhRSm","https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm","pop,r&b,soul"
"2181","Jimmy Barnes",197427,61,"spotify:artist:1k5aZWIOUbUfKcnMxtEivJ","https://api.spotify.com/v1/artists/1k5aZWIOUbUfKcnMxtEivJ","australian pop,australian rock"
"2182","The Firm",676,26,"spotify:artist:0CdjGDoP2UyhV0pXKeSaPU","https://api.spotify.com/v1/artists/0CdjGDoP2UyhV0pXKeSaPU",NA
"2183","Hoodoo Gurus",110129,54,"spotify:artist:7HZQqtnOYmjJl8XAB3Vg8y","https://api.spotify.com/v1/artists/7HZQqtnOYmjJl8XAB3Vg8y","australian alternative rock,australian rock,power pop"
"2184","INXS",1529972,72,"spotify:artist:1eClJfHLoDI4rZe5HxzBFv","https://api.spotify.com/v1/artists/1eClJfHLoDI4rZe5HxzBFv","australian rock,classic rock,dance rock,funk rock,mellow gold,new romantic,new wave,new wave pop,pop rock,rock,soft rock"
"2185","Club Nouveau",98723,44,"spotify:artist:4kEAjV4pCBOkoowYYQydvO","https://api.spotify.com/v1/artists/4kEAjV4pCBOkoowYYQydvO","electro,freestyle,funk,new jack swing,quiet storm"
"2186","New Order",1303700,72,"spotify:artist:0yNLKJebCb8Aueb54LYya3","https://api.spotify.com/v1/artists/0yNLKJebCb8Aueb54LYya3","art rock,dance rock,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,synthpop,uk post-punk"
"2187","Debbie Harry",26533,43,"spotify:artist:7FxMjqH6DH056sdsstGeVl","https://api.spotify.com/v1/artists/7FxMjqH6DH056sdsstGeVl","new wave pop"
"2188","James Reyne",64441,52,"spotify:artist:4v0Hh2bdIAJnaUqAOipfYs","https://api.spotify.com/v1/artists/4v0Hh2bdIAJnaUqAOipfYs","australian alternative rock,australian pop,australian rock"
"2189","Breakfast Club",4905,35,"spotify:artist:4nsuck0htFQjVl6OCKVzRb","https://api.spotify.com/v1/artists/4nsuck0htFQjVl6OCKVzRb",NA
"2190","George Michael",2682981,76,"spotify:artist:19ra5tSw0tWufvUp8GotLo","https://api.spotify.com/v1/artists/19ra5tSw0tWufvUp8GotLo","dance rock,new wave pop,soft rock"
"2191","Paul Carrack",113754,57,"spotify:artist:0FFuvdY7fuiuTmHN9unYoz","https://api.spotify.com/v1/artists/0FFuvdY7fuiuTmHN9unYoz","adult standards,classic uk pop,mellow gold,neo soul,new wave pop,soft rock"
"2192","Billy Idol",1041227,71,"spotify:artist:7lzordPuZEXxwt9aoVZYmG","https://api.spotify.com/v1/artists/7lzordPuZEXxwt9aoVZYmG","album rock,classic rock,dance rock,hard rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,synthpop"
"2193","The Angels",99374,55,"spotify:artist:2PeqTZKroEc2oDwTfmB2al","https://api.spotify.com/v1/artists/2PeqTZKroEc2oDwTfmB2al","australian rock"
"2194","Rick Astley",614398,69,"spotify:artist:0gxyHStUsqpMadRV0Di1Qt","https://api.spotify.com/v1/artists/0gxyHStUsqpMadRV0Di1Qt","dance rock,europop,new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop"
"2195","Heart",1417547,71,"spotify:artist:34jw2BbxjoYalTp8cJFCPv","https://api.spotify.com/v1/artists/34jw2BbxjoYalTp8cJFCPv","album rock,classic rock,hard rock,heartland rock,mellow gold,new wave pop,pop rock,rock,soft rock"
"2196","Man 2 Man",1334,29,"spotify:artist:5mhyYbgxQFdNMPdDFRm9G4","https://api.spotify.com/v1/artists/5mhyYbgxQFdNMPdDFRm9G4","hi-nrg"
"2197","World Party",26476,47,"spotify:artist:0THUMJMWUd5L8os9K6O4FE","https://api.spotify.com/v1/artists/0THUMJMWUd5L8os9K6O4FE","art rock,beatlesque,lilith,new wave,new wave pop,pop rock,power pop,roots rock"
"2198","Chris Rea",489273,62,"spotify:artist:5KEG7G8LDYlHgFDqZyEEs2","https://api.spotify.com/v1/artists/5KEG7G8LDYlHgFDqZyEEs2","art rock,blues rock,classic rock,classic uk pop,mellow gold,new wave pop,soft rock,sophisti-pop"
"2199","The Cockroaches",5061,24,"spotify:artist:6Lycpe225dRqZS3abnkNuE","https://api.spotify.com/v1/artists/6Lycpe225dRqZS3abnkNuE","australian rock"
"2200","Mel & Kim",56993,43,"spotify:artist:4k7b3DWqBnYpobDWbNWLdM","https://api.spotify.com/v1/artists/4k7b3DWqBnYpobDWbNWLdM","new wave pop"
"2201","Robbie Nevil",8001,37,"spotify:artist:4NkLjsRsFnuPu9B4zqzBqq","https://api.spotify.com/v1/artists/4NkLjsRsFnuPu9B4zqzBqq","new wave pop"
"2202","Jimmy Barnes",197427,61,"spotify:artist:1k5aZWIOUbUfKcnMxtEivJ","https://api.spotify.com/v1/artists/1k5aZWIOUbUfKcnMxtEivJ","australian pop,australian rock"
"2203","Choirboys",80940,52,"spotify:artist:2u6qHMpQaE48aowjWKJeCM","https://api.spotify.com/v1/artists/2u6qHMpQaE48aowjWKJeCM","australian rock"
"2204","Stacey Q",32020,44,"spotify:artist:3q8tRS0hCMVCylgKAoA0ya","https://api.spotify.com/v1/artists/3q8tRS0hCMVCylgKAoA0ya","freestyle,hi-nrg"
"2205","Gino Vannelli",99429,52,"spotify:artist:6ltcwvni6HdZAJaWhmIvNR","https://api.spotify.com/v1/artists/6ltcwvni6HdZAJaWhmIvNR","adult standards,classic canadian rock,mellow gold,soft rock,yacht rock"
"2206","Johnny Logan",17751,50,"spotify:artist:27rXetqqGSi2spXzggwehc","https://api.spotify.com/v1/artists/27rXetqqGSi2spXzggwehc","dansktop"
"2207","Chantoozies",5272,25,"spotify:artist:27jbY7PPKoVMVzpMBTUsaN","https://api.spotify.com/v1/artists/27jbY7PPKoVMVzpMBTUsaN","australian rock"
"2208","Pet Shop Boys",1068369,71,"spotify:artist:2ycnb8Er79LoH2AsR5ldjh","https://api.spotify.com/v1/artists/2ycnb8Er79LoH2AsR5ldjh","art pop,dance pop,dance rock,europop,new romantic,new wave,new wave pop,permanent wave,synthpop"
"2209","New Order",1303700,72,"spotify:artist:0yNLKJebCb8Aueb54LYya3","https://api.spotify.com/v1/artists/0yNLKJebCb8Aueb54LYya3","art rock,dance rock,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,synthpop,uk post-punk"
"2210","Lou Gramm",63193,47,"spotify:artist:7CnmC3gRgLev4I609BrSxj","https://api.spotify.com/v1/artists/7CnmC3gRgLev4I609BrSxj","album rock,mellow gold,soft rock"
"2211","Terence Trent D'Arby",404687,57,"spotify:artist:1JpHKf8Ztyd8HXU8p6m9cc","https://api.spotify.com/v1/artists/1JpHKf8Ztyd8HXU8p6m9cc","dance rock,new romantic,new wave,new wave pop"
"2212","Crowded House",526242,69,"spotify:artist:7ohlPA8dRBtCf92zaZCaaB","https://api.spotify.com/v1/artists/7ohlPA8dRBtCf92zaZCaaB","australian rock,dance rock,mellow gold,permanent wave,pop rock,rock"
"2213","Peter Gabriel",1033660,69,"spotify:artist:7C4sUpWGlTy7IANjruj02I","https://api.spotify.com/v1/artists/7C4sUpWGlTy7IANjruj02I","album rock,art pop,art rock,classic rock,dance rock,mellow gold,permanent wave,rock,soft rock"
"2214","Wang Chung",180874,57,"spotify:artist:6Zh3xrWlA0SA9Fsfj9AVwm","https://api.spotify.com/v1/artists/6Zh3xrWlA0SA9Fsfj9AVwm","album rock,dance rock,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop"
"2215","Madonna",4470140,81,"spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW","dance pop,pop"
"2216","Swing Out Sister",93106,51,"spotify:artist:4phr5rAgWhcZtWJu8w8lKv","https://api.spotify.com/v1/artists/4phr5rAgWhcZtWJu8w8lKv","new romantic,new wave pop,sophisti-pop"
"2217","Billy Vera & The Beaters",2898,35,"spotify:artist:1QQBo7mfkehMjDfz1tj5Pq","https://api.spotify.com/v1/artists/1QQBo7mfkehMjDfz1tj5Pq",NA
"2218","Noiseworks",97308,50,"spotify:artist:3IJFGnsUboabVEbJz1UR91","https://api.spotify.com/v1/artists/3IJFGnsUboabVEbJz1UR91","australian pop,australian rock"
"2219","John Farnham",185577,62,"spotify:artist:1QxaPWG1POM8Ul6WwsHq4y","https://api.spotify.com/v1/artists/1QxaPWG1POM8Ul6WwsHq4y","australian pop,australian rock"
"2220","Pretenders",850665,69,"spotify:artist:0GByy3DcfbQwDvXGCWmzv9","https://api.spotify.com/v1/artists/0GByy3DcfbQwDvXGCWmzv9","album rock,art rock,classic rock,dance rock,folk,folk rock,lilith,mellow gold,new romantic,new wave,new wave pop,permanent wave,pop rock,rock,soft rock"
"2221","Iggy Pop",1053236,68,"spotify:artist:33EUXrFKGjpUSGacqEHhU4","https://api.spotify.com/v1/artists/33EUXrFKGjpUSGacqEHhU4","alternative rock,classic rock,dance rock,glam rock,new wave,permanent wave,post-punk,protopunk,punk,rock"
"2222","Madonna",4470140,81,"spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW","dance pop,pop"
"2223","Madonna",4470140,81,"spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW","dance pop,pop"
"2224","U2",7380694,82,"spotify:artist:51Blml2LZPmy7TTiAg47vQ","https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ","irish rock,permanent wave,rock"
"2225","Bob Seger",1092317,71,"spotify:artist:485uL27bPomh29R4JmQehQ","https://api.spotify.com/v1/artists/485uL27bPomh29R4JmQehQ","album rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,soft rock"
"2226","Wang Chung",180874,57,"spotify:artist:6Zh3xrWlA0SA9Fsfj9AVwm","https://api.spotify.com/v1/artists/6Zh3xrWlA0SA9Fsfj9AVwm","album rock,dance rock,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop"
"2227","Jenny Morris",23231,40,"spotify:artist:604iqbiglyTgxMeKkvlBGc","https://api.spotify.com/v1/artists/604iqbiglyTgxMeKkvlBGc","classic nz pop"
"2228","James Reyne",64441,52,"spotify:artist:4v0Hh2bdIAJnaUqAOipfYs","https://api.spotify.com/v1/artists/4v0Hh2bdIAJnaUqAOipfYs","australian alternative rock,australian pop,australian rock"
"2229","Chris de Burgh",271124,65,"spotify:artist:2RpHsROrX075xfIwHn6B2U","https://api.spotify.com/v1/artists/2RpHsROrX075xfIwHn6B2U","classic uk pop,mellow gold,new wave pop,soft rock"
"2230","George Michael",2682981,76,"spotify:artist:19ra5tSw0tWufvUp8GotLo","https://api.spotify.com/v1/artists/19ra5tSw0tWufvUp8GotLo","dance rock,new wave pop,soft rock"
"2231","Bee Gees",3691399,79,"spotify:artist:1LZEQNv7sE11VDY3SdxQeN","https://api.spotify.com/v1/artists/1LZEQNv7sE11VDY3SdxQeN","adult standards,disco,mellow gold,soft rock"
"2232","Billy Idol",1041227,71,"spotify:artist:7lzordPuZEXxwt9aoVZYmG","https://api.spotify.com/v1/artists/7lzordPuZEXxwt9aoVZYmG","album rock,classic rock,dance rock,hard rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,synthpop"
"2233","Glass Tiger",84927,47,"spotify:artist:53RaPTbZOx2mBoZD6LLWIv","https://api.spotify.com/v1/artists/53RaPTbZOx2mBoZD6LLWIv","album rock,classic canadian rock,mellow gold,new wave pop,soft rock"
"2234","Machinations",5949,26,"spotify:artist:5ghiRwgyYZfnmC0Upu6ZtR","https://api.spotify.com/v1/artists/5ghiRwgyYZfnmC0Upu6ZtR","australian rock"
"2235","Gregory Abbott",10460,45,"spotify:artist:6zdcmro5vDQSUjeioajL2r","https://api.spotify.com/v1/artists/6zdcmro5vDQSUjeioajL2r","quiet storm"
"2236","John Mellencamp",917571,71,"spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH","https://api.spotify.com/v1/artists/3lPQ2Fk5JOwGWAF3ORFCqH","album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock"
"2237","Stacey Q",32020,44,"spotify:artist:3q8tRS0hCMVCylgKAoA0ya","https://api.spotify.com/v1/artists/3q8tRS0hCMVCylgKAoA0ya","freestyle,hi-nrg"
"2238","Alison Moyet",269073,55,"spotify:artist:0s0rOb0gT2S9N0SDcjtPC4","https://api.spotify.com/v1/artists/0s0rOb0gT2S9N0SDcjtPC4","art rock,classic uk pop,dance rock,new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop"
"2239","Bon Jovi",8370312,82,"spotify:artist:58lV9VcRSjABbAbfWS6skp","https://api.spotify.com/v1/artists/58lV9VcRSjABbAbfWS6skp","glam metal,rock"
"2240","Shona Laing",2948,24,"spotify:artist:67r8AUFLw2RfU1fkzzvwCK","https://api.spotify.com/v1/artists/67r8AUFLw2RfU1fkzzvwCK","classic nz pop"
"2241","Boy George",329064,49,"spotify:artist:2BWfZGPtsjRlRp7JTDqI45","https://api.spotify.com/v1/artists/2BWfZGPtsjRlRp7JTDqI45","dance rock,new romantic,new wave,new wave pop,synthpop"
"2242","Fleetwood Mac",5334690,87,"spotify:artist:08GQAI4eElDnROBrJRGE0X","https://api.spotify.com/v1/artists/08GQAI4eElDnROBrJRGE0X","album rock,classic rock,mellow gold,rock,soft rock,yacht rock"
"2243","T'Pau",111368,52,"spotify:artist:47qTcvYlqJGAEsCI7BcENC","https://api.spotify.com/v1/artists/47qTcvYlqJGAEsCI7BcENC","dance rock,new romantic,new wave,new wave pop,synthpop"
"2244","Sarah Brightman",311927,62,"spotify:artist:7Ead768rc4ShGxnqtqccU5","https://api.spotify.com/v1/artists/7Ead768rc4ShGxnqtqccU5","operatic pop"
"2245","Cliff Richard",200157,62,"spotify:artist:2nvKpWcP8etYTq4JrRiUiy","https://api.spotify.com/v1/artists/2nvKpWcP8etYTq4JrRiUiy","adult standards,brill building pop,bubblegum pop,classic uk pop,mellow gold,rock-and-roll,rockabilly,soft rock"
"2246","MC Miker G",621,27,"spotify:artist:6q8oe9BP3H1XlKg8SpEHEx","https://api.spotify.com/v1/artists/6q8oe9BP3H1XlKg8SpEHEx",NA
"2247","Deejay Sven",69,26,"spotify:artist:4wGVaK4Eu1zmWzMQiCNPbe","https://api.spotify.com/v1/artists/4wGVaK4Eu1zmWzMQiCNPbe",NA
"2248","Carol Hitchcock",50,10,"spotify:artist:1Qc8uHcLA40H1YqObssmDB","https://api.spotify.com/v1/artists/1Qc8uHcLA40H1YqObssmDB",NA
"2249","Cutting Crew",217899,64,"spotify:artist:3cniTumSiUysiPWXapGx1i","https://api.spotify.com/v1/artists/3cniTumSiUysiPWXapGx1i","album rock,dance rock,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop"
"2250","Mental As Anything",91763,53,"spotify:artist:6PFydyUHMKD2jm5NXzRPiK","https://api.spotify.com/v1/artists/6PFydyUHMKD2jm5NXzRPiK","australian alternative rock,australian rock"
"2251","Tina Turner",2054431,77,"spotify:artist:1zuJe6b1roixEKMOtyrEak","https://api.spotify.com/v1/artists/1zuJe6b1roixEKMOtyrEak","disco,europop,new wave pop,soft rock"
"2252","Carl Anderson",2808,41,"spotify:artist:7Bp4xXabhvbSB51SK3LJim","https://api.spotify.com/v1/artists/7Bp4xXabhvbSB51SK3LJim",NA
"2253","Gloria Loring",492,30,"spotify:artist:4OvZ8Dx72DO6lo6DRL6vjK","https://api.spotify.com/v1/artists/4OvZ8Dx72DO6lo6DRL6vjK",NA
"2254","Jackie Wilson",285618,64,"spotify:artist:4VnomLtKTm9Ahe1tZfmZju","https://api.spotify.com/v1/artists/4VnomLtKTm9Ahe1tZfmZju","adult standards,brill building pop,chicago soul,classic soul,funk,motown,quiet storm,rhythm and blues,rock-and-roll,rockabilly,soul"
"2255","George Harrison",1644500,71,"spotify:artist:7FIoB5PHdrMZVC3q2HE5MS","https://api.spotify.com/v1/artists/7FIoB5PHdrMZVC3q2HE5MS","album rock,beatlesque,classic rock,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock"
"2256","Gary Moore",382282,62,"spotify:artist:23wr9RJZg0PmYvVFyNkQ4j","https://api.spotify.com/v1/artists/23wr9RJZg0PmYvVFyNkQ4j","album rock,blues rock,british blues,classic rock,electric blues,hard rock,rock"
"2257","Michael Jackson",16057649,85,"spotify:artist:3fMbdgg4jU18AjLCKBhRSm","https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm","pop,r&b,soul"
"2258","Siedah Garrett",4197,57,"spotify:artist:7EVlecngyrLHfQUqFMpwkT","https://api.spotify.com/v1/artists/7EVlecngyrLHfQUqFMpwkT",NA
"2259","Rockmelons",4268,32,"spotify:artist:4a8lth8CeT9IQYFWAwXJCx","https://api.spotify.com/v1/artists/4a8lth8CeT9IQYFWAwXJCx","australian rock"
"2260","Wa Wa Nee",6408,23,"spotify:artist:5h3WBrCy3VcEj0IGf347dz","https://api.spotify.com/v1/artists/5h3WBrCy3VcEj0IGf347dz",NA
"2261","Paul Simon",1434671,74,"spotify:artist:2CvCyf1gEVhI0mX6aFXmVI","https://api.spotify.com/v1/artists/2CvCyf1gEVhI0mX6aFXmVI","classic rock,folk,folk rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter,soft rock"
"2262","The Rubens",162567,62,"spotify:artist:2hrWpLNoJcs1EnWSXvB6JI","https://api.spotify.com/v1/artists/2hrWpLNoJcs1EnWSXvB6JI","australian hip hop,australian indie,australian pop"
"2263","Kendrick Lamar",15643686,90,"spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg","conscious hip hop,hip hop,rap,west coast rap"
"2264","Major Lazer",6078466,83,"spotify:artist:738wLrAtLtCtFOLvQBXOXp","https://api.spotify.com/v1/artists/738wLrAtLtCtFOLvQBXOXp","dance pop,edm,electro house,moombahton,pop,pop rap"
"2265","MØ",1279000,75,"spotify:artist:0bdfiayQAKewqEvaU6rXCv","https://api.spotify.com/v1/artists/0bdfiayQAKewqEvaU6rXCv","dance pop,danish pop,electropop,indie pop,indie poptimism,pop"
"2266","DJ Snake",7066209,83,"spotify:artist:540vIaP2JwjQb9dm3aArA4","https://api.spotify.com/v1/artists/540vIaP2JwjQb9dm3aArA4","dance pop,edm,electro house,electronic trap,pop,pop rap"
"2267","Tame Impala",4230084,83,"spotify:artist:5INjqkS1o8h1imAzPqGZBb","https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb","australian psych,neo-psychedelic"
"2268","Tame Impala",4230084,83,"spotify:artist:5INjqkS1o8h1imAzPqGZBb","https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb","australian psych,neo-psychedelic"
"2269","Marcus Marr",36215,50,"spotify:artist:6l5dAUNRhHnRSPPmRJSKQr","https://api.spotify.com/v1/artists/6l5dAUNRhHnRSPPmRJSKQr","uk alternative pop"
"2270","Chet Faker",98762,69,"spotify:artist:6UcJxoeHWWWyT5HZP064om","https://api.spotify.com/v1/artists/6UcJxoeHWWWyT5HZP064om","art pop,indietronica"
"2271","Jarryd James",105344,53,"spotify:artist:23IZADrJHPStZ6aMxJVq3s","https://api.spotify.com/v1/artists/23IZADrJHPStZ6aMxJVq3s","australian alternative pop,australian r&b"
"2272","Hermitude",234698,63,"spotify:artist:3fmMaLC5jjf2N4EC2kTx0u","https://api.spotify.com/v1/artists/3fmMaLC5jjf2N4EC2kTx0u","australian dance,australian hip hop,downtempo,edm,escape room"
"2273","Mataya",905,56,"spotify:artist:6JW55AQgf9M9SZgzZou2NQ","https://api.spotify.com/v1/artists/6JW55AQgf9M9SZgzZou2NQ",NA
"2274","TAPZ",4597,53,"spotify:artist:7p54hwKypG19lucXWyQdGG","https://api.spotify.com/v1/artists/7p54hwKypG19lucXWyQdGG","escape room"
"2275","The Weeknd",25003330,96,"spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ","canadian contemporary r&b,canadian pop,pop"
"2276","Disclosure",1828659,82,"spotify:artist:6nS5roXSAGhTGr34W6n7Et","https://api.spotify.com/v1/artists/6nS5roXSAGhTGr34W6n7Et","house,pop,uk dance"
"2277","Lorde",6539186,81,"spotify:artist:163tK9Wjr9P9DmM0AVK7lm","https://api.spotify.com/v1/artists/163tK9Wjr9P9DmM0AVK7lm","art pop,dance pop,metropopolis,nz pop,pop"
"2278","Meg Mac",106755,53,"spotify:artist:4faUajx9k93O56nlmpkOuz","https://api.spotify.com/v1/artists/4faUajx9k93O56nlmpkOuz","australian hip hop,australian indie,australian pop"
"2279","RÜFÜS DU SOL",666355,73,"spotify:artist:5Pb27ujIyYb33zBqVysBkj","https://api.spotify.com/v1/artists/5Pb27ujIyYb33zBqVysBkj","australian electropop,indietronica,tropical house"
"2280","Duke Dumont",583795,72,"spotify:artist:61lyPtntblHJvA7FMMhi7E","https://api.spotify.com/v1/artists/61lyPtntblHJvA7FMMhi7E","dance pop,destroy techno,disco house,edm,house,progressive house,tropical house,uk dance"
"2281","Drake",50161321,100,"spotify:artist:3TVXtAsR1Inumwj472S9r4","https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4","canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap"
"2282","Violent Soho",140569,56,"spotify:artist:2N2EFVDEbp2JB8ulEUVIxp","https://api.spotify.com/v1/artists/2N2EFVDEbp2JB8ulEUVIxp","australian alternative rock,australian garage punk,australian indie,brisbane indie,modern rock"
"2283","Vance Joy",2186121,78,"spotify:artist:10exVja0key0uqUkk6LJRT","https://api.spotify.com/v1/artists/10exVja0key0uqUkk6LJRT","folk-pop,modern rock,pop,pop rock"
