"","playlist_uri","album","album_uri","artist","artist_uri","disc_number","duration_ms","name","popularity","explicit","uri","link"
"11","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Peace Is the Mission","spotify:album:0C7tn68LWhhw5Ez6g9LMjz","DJ Snake","spotify:artist:540vIaP2JwjQb9dm3aArA4",1,176561,"Lean On (feat. MØ & DJ Snake)",60,FALSE,"spotify:track:33YmfTNoLnbkRnOjf7YIVm","https://api.spotify.com/v1/tracks/33YmfTNoLnbkRnOjf7YIVm"
"12","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Fifty Shades Freed (Original Motion Picture Soundtrack)","spotify:album:4w0N1CaZwQ5RPIuawqlYyy","Ellie Goulding","spotify:artist:0X2BH1fck6amBIoJhDVmmJ",1,253520,"Love Me Like You Do",71,FALSE,"spotify:track:0Cy7wt6IlRfBPHXXjmZbcP","https://api.spotify.com/v1/tracks/0Cy7wt6IlRfBPHXXjmZbcP"
"13","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","TALKING IS HARD","spotify:album:3mNoFlD1wsoXfkljfFzExT","WALK THE MOON","spotify:artist:6DIS6PRrLS3wbnZsf7vYic",1,199080,"Shut Up and Dance",80,FALSE,"spotify:track:4kbj5MwxO1bq9wjT5g9HaA","https://api.spotify.com/v1/tracks/4kbj5MwxO1bq9wjT5g9HaA"
"14","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Purpose (Deluxe)","spotify:album:6Fr2rQkZ383FcMqFyT7yPr","Justin Bieber","spotify:artist:1uNFoZAHBGtllmzznpCI3s",1,205680,"What Do You Mean?",77,FALSE,"spotify:track:4B0JvthVoAAuygILe3n4Bs","https://api.spotify.com/v1/tracks/4B0JvthVoAAuygILe3n4Bs"
"15","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","FourFiveSeconds","spotify:album:7yBl4uFyJzH48Vy6tPieXL","Rihanna","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H",1,188238,"FourFiveSeconds",79,FALSE,"spotify:track:78TTtXnFQPzwqlbtbwqN0y","https://api.spotify.com/v1/tracks/78TTtXnFQPzwqlbtbwqN0y"
"16","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","FourFiveSeconds","spotify:album:7yBl4uFyJzH48Vy6tPieXL","Kanye West","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x",1,188238,"FourFiveSeconds",79,FALSE,"spotify:track:78TTtXnFQPzwqlbtbwqN0y","https://api.spotify.com/v1/tracks/78TTtXnFQPzwqlbtbwqN0y"
"17","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","FourFiveSeconds","spotify:album:7yBl4uFyJzH48Vy6tPieXL","Paul McCartney","spotify:artist:4STHEaNw4mPZ2tzheohgXB",1,188238,"FourFiveSeconds",79,FALSE,"spotify:track:78TTtXnFQPzwqlbtbwqN0y","https://api.spotify.com/v1/tracks/78TTtXnFQPzwqlbtbwqN0y"
"18","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","This Unruly Mess I've Made","spotify:album:33P1UCO4J5nCXbOyvtp8dm","Macklemore","spotify:artist:3JhNCzhSMTxs9WLGJJxWOY",1,292639,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",43,FALSE,"spotify:track:6dVcHbKVKid0REz9kZyT0Q","https://api.spotify.com/v1/tracks/6dVcHbKVKid0REz9kZyT0Q"
"19","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","This Unruly Mess I've Made","spotify:album:33P1UCO4J5nCXbOyvtp8dm","Ryan Lewis","spotify:artist:4myTppRgh0rojLxx8RycOp",1,292639,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",43,FALSE,"spotify:track:6dVcHbKVKid0REz9kZyT0Q","https://api.spotify.com/v1/tracks/6dVcHbKVKid0REz9kZyT0Q"
"20","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","This Unruly Mess I've Made","spotify:album:33P1UCO4J5nCXbOyvtp8dm","Grandmaster Melle Mel","spotify:artist:0AWhixY9hX7LEPyPMjh4O0",1,292639,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",43,FALSE,"spotify:track:6dVcHbKVKid0REz9kZyT0Q","https://api.spotify.com/v1/tracks/6dVcHbKVKid0REz9kZyT0Q"
"21","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","This Unruly Mess I've Made","spotify:album:33P1UCO4J5nCXbOyvtp8dm","Grandmaster Caz","spotify:artist:6QeZTS8BrU3r2TYJdA68j9",1,292639,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",43,FALSE,"spotify:track:6dVcHbKVKid0REz9kZyT0Q","https://api.spotify.com/v1/tracks/6dVcHbKVKid0REz9kZyT0Q"
"22","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","This Unruly Mess I've Made","spotify:album:33P1UCO4J5nCXbOyvtp8dm","Kool Moe Dee","spotify:artist:2RE8NwNxsOyuNZDD0jRxHP",1,292639,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",43,FALSE,"spotify:track:6dVcHbKVKid0REz9kZyT0Q","https://api.spotify.com/v1/tracks/6dVcHbKVKid0REz9kZyT0Q"
"23","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","This Unruly Mess I've Made","spotify:album:33P1UCO4J5nCXbOyvtp8dm","Eric Nally","spotify:artist:3NoeRIxHApi6qe4yan2Vnn",1,292639,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",43,FALSE,"spotify:track:6dVcHbKVKid0REz9kZyT0Q","https://api.spotify.com/v1/tracks/6dVcHbKVKid0REz9kZyT0Q"
"24","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Beauty Behind The Madness","spotify:album:0P3oVJBFOv3TDXlYRhGL7s","The Weeknd","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ",1,213520,"Can't Feel My Face",79,FALSE,"spotify:track:22VdIZQfgXJea34mQxlt81","https://api.spotify.com/v1/tracks/22VdIZQfgXJea34mQxlt81"
"25","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","V","spotify:album:2Auw0pTT6EcQdvHNimhLQI","Maroon 5","spotify:artist:04gDigrS5kc9YWfZHwBETP",1,235493,"Sugar",80,TRUE,"spotify:track:2iuZJX9X9P0GKaE93xcPjk","https://api.spotify.com/v1/tracks/2iuZJX9X9P0GKaE93xcPjk"
"26","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","1000 Forms of Fear","spotify:album:2k39lnQqeIwKlYYYfTXe8Y","Sia","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN",1,257200,"Elastic Heart",53,FALSE,"spotify:track:4lT65U9u7ghr8gNo04JgzJ","https://api.spotify.com/v1/tracks/4lT65U9u7ghr8gNo04JgzJ"
"27","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","x (Deluxe Edition)","spotify:album:1xn54DMo2qIqBuMqHtUsFd","Ed Sheeran","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V",1,281560,"Thinking out Loud",83,FALSE,"spotify:track:34gCuhDGsG4bRPIf9bb02f","https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f"
"28","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Purpose (Deluxe)","spotify:album:6Fr2rQkZ383FcMqFyT7yPr","Justin Bieber","spotify:artist:1uNFoZAHBGtllmzznpCI3s",1,200786,"Sorry",81,FALSE,"spotify:track:09CtPGIpYB4BrO8qb1RGsF","https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF"
"29","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Skrillex and Diplo present Jack Ü","spotify:album:6bfkwBrGYKJFk6Z4QVyjxd","Jack Ü","spotify:artist:1HxJeLhIuegM3KgvPn8sTa",1,250285,"Where Are Ü Now (with Justin Bieber)",74,FALSE,"spotify:track:66hayvUbTotekKU3H4ta1f","https://api.spotify.com/v1/tracks/66hayvUbTotekKU3H4ta1f"
"30","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Skrillex and Diplo present Jack Ü","spotify:album:6bfkwBrGYKJFk6Z4QVyjxd","Skrillex","spotify:artist:5he5w2lnU9x7JFhnwcekXX",1,250285,"Where Are Ü Now (with Justin Bieber)",74,FALSE,"spotify:track:66hayvUbTotekKU3H4ta1f","https://api.spotify.com/v1/tracks/66hayvUbTotekKU3H4ta1f"
"31","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Skrillex and Diplo present Jack Ü","spotify:album:6bfkwBrGYKJFk6Z4QVyjxd","Diplo","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX",1,250285,"Where Are Ü Now (with Justin Bieber)",74,FALSE,"spotify:track:66hayvUbTotekKU3H4ta1f","https://api.spotify.com/v1/tracks/66hayvUbTotekKU3H4ta1f"
"32","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Skrillex and Diplo present Jack Ü","spotify:album:6bfkwBrGYKJFk6Z4QVyjxd","Justin Bieber","spotify:artist:1uNFoZAHBGtllmzznpCI3s",1,250285,"Where Are Ü Now (with Justin Bieber)",74,FALSE,"spotify:track:66hayvUbTotekKU3H4ta1f","https://api.spotify.com/v1/tracks/66hayvUbTotekKU3H4ta1f"
"33","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Bad Blood","spotify:album:1Tv3rrFNdXGtTeP1plX2xE","Taylor Swift","spotify:artist:06HL4z0CvFAxyc27GXpf02",1,200106,"Bad Blood",65,FALSE,"spotify:track:6xsEAm6w9oMQYYg3jkEkMT","https://api.spotify.com/v1/tracks/6xsEAm6w9oMQYYg3jkEkMT"
"34","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Bad Blood","spotify:album:1Tv3rrFNdXGtTeP1plX2xE","Kendrick Lamar","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg",1,200106,"Bad Blood",65,FALSE,"spotify:track:6xsEAm6w9oMQYYg3jkEkMT","https://api.spotify.com/v1/tracks/6xsEAm6w9oMQYYg3jkEkMT"
"35","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Chaos And The Calm","spotify:album:3GqsyMrJu3o8jLiGyBsBQW","James Bay","spotify:artist:4EzkuveR9pLvDVFNx6foYD",1,238746,"Hold Back The River",68,FALSE,"spotify:track:1KZyVnyptQcPzkx7ELCnZC","https://api.spotify.com/v1/tracks/1KZyVnyptQcPzkx7ELCnZC"
"36","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Beauty Behind The Madness","spotify:album:0P3oVJBFOv3TDXlYRhGL7s","The Weeknd","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ",1,242253,"The Hills",83,TRUE,"spotify:track:7fBv7CLKzipRk6EC6TWHOB","https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB"
"37","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Wildfire","spotify:album:0mFDIOqypzHp6Xd0el1hoT","Rachel Platten","spotify:artist:3QLIkT4rD2FMusaqmkepbq",1,204013,"Fight Song",79,FALSE,"spotify:track:37f4ITSlgPX81ad2EvmVQr","https://api.spotify.com/v1/tracks/37f4ITSlgPX81ad2EvmVQr"
"38","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Thirty One","spotify:album:4kZKz4ZQCnuKWV6MqOR2H2","Jarryd James","spotify:artist:23IZADrJHPStZ6aMxJVq3s",1,234866,"Do You Remember",53,FALSE,"spotify:track:5V53dAjgNInfXNlz2cryvd","https://api.spotify.com/v1/tracks/5V53dAjgNInfXNlz2cryvd"
"39","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Title (Deluxe)","spotify:album:5W98Ab4VvQEuFEE4TIe5fE","Meghan Trainor","spotify:artist:6JL8zeS1NmiOftqZTRgdTz",1,225053,"Like I'm Gonna Lose You (feat. John Legend)",78,FALSE,"spotify:track:2YlZnw2ikdb837oKMKjBkW","https://api.spotify.com/v1/tracks/2YlZnw2ikdb837oKMKjBkW"
"40","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Title (Deluxe)","spotify:album:5W98Ab4VvQEuFEE4TIe5fE","John Legend","spotify:artist:5y2Xq6xcjJb2jVM54GHK3t",1,225053,"Like I'm Gonna Lose You (feat. John Legend)",78,FALSE,"spotify:track:2YlZnw2ikdb837oKMKjBkW","https://api.spotify.com/v1/tracks/2YlZnw2ikdb837oKMKjBkW"
"41","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Everything Is 4","spotify:album:59eUYETmE1zi31ESb3SUkI","Jason Derulo","spotify:artist:07YZf4WDAMNwqr4jfgOZ8y",1,207719,"Want to Want Me",77,FALSE,"spotify:track:7oGZAicScQt96OAW4AruYy","https://api.spotify.com/v1/tracks/7oGZAicScQt96OAW4AruYy"
"42","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Purpose (Deluxe)","spotify:album:6Fr2rQkZ383FcMqFyT7yPr","Justin Bieber","spotify:artist:1uNFoZAHBGtllmzznpCI3s",1,233720,"Love Yourself",81,FALSE,"spotify:track:50kpGaPAhYJ3sGmk6vplg0","https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0"
"43","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","FMA","spotify:album:2AUhyBQANk5FKHD6WCbxja","SAYGRACE","spotify:artist:6y5amJcTjeDgLXIjtQLMst",1,201493,"You Don't Own Me (feat. G-Eazy)",71,FALSE,"spotify:track:6KI1ZpZWYAJLvmVhCJz65G","https://api.spotify.com/v1/tracks/6KI1ZpZWYAJLvmVhCJz65G"
"44","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","FMA","spotify:album:2AUhyBQANk5FKHD6WCbxja","G-Eazy","spotify:artist:02kJSzxNuaWGqwubyUba0Z",1,201493,"You Don't Own Me (feat. G-Eazy)",71,FALSE,"spotify:track:6KI1ZpZWYAJLvmVhCJz65G","https://api.spotify.com/v1/tracks/6KI1ZpZWYAJLvmVhCJz65G"
"45","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Bills","spotify:album:6ItEjseW8RWuVTDLd1vcnp","LunchMoney Lewis","spotify:artist:2iUbk5KhZYZt4CRvWbwb7S",1,204600,"Bills",62,TRUE,"spotify:track:7rlCeTnjn0plPZkVAcctPZ","https://api.spotify.com/v1/tracks/7rlCeTnjn0plPZkVAcctPZ"
"46","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Less Is More","spotify:album:51gRYg9ieaRQTaCbsYwCpl","Lost Frequencies","spotify:artist:7f5Zgnp2spUuuzKplmRkt7",1,138013,"Are You With Me - Radio Edit",52,FALSE,"spotify:track:24iNer6lkG8seq7vm2zDVl","https://api.spotify.com/v1/tracks/24iNer6lkG8seq7vm2zDVl"
"47","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","How Deep Is Your Love","spotify:album:3cG32DOXJoYlOHMmJIaQsm","Calvin Harris","spotify:artist:7CajNmpbOovFoOoasH2HaY",1,212640,"How Deep Is Your Love",76,FALSE,"spotify:track:22mek4IiqubGD9ctzxc69s","https://api.spotify.com/v1/tracks/22mek4IiqubGD9ctzxc69s"
"48","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","How Deep Is Your Love","spotify:album:3cG32DOXJoYlOHMmJIaQsm","Disciples","spotify:artist:5EehXjjMktLuJmbRsM7YfB",1,212640,"How Deep Is Your Love",76,FALSE,"spotify:track:22mek4IiqubGD9ctzxc69s","https://api.spotify.com/v1/tracks/22mek4IiqubGD9ctzxc69s"
"49","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Pharmacy","spotify:album:4QcXq4vTVN7dFb7bZa9jG2","Galantis","spotify:artist:4sTQVOfp9vEMCemLw50sbu",1,203133,"Peanut Butter Jelly",65,FALSE,"spotify:track:3aIhJDHxr1kgTSnutJxPTH","https://api.spotify.com/v1/tracks/3aIhJDHxr1kgTSnutJxPTH"
"50","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","1989 (Deluxe)","spotify:album:1yGbNOtRIgdIiGHOEBaZWf","Taylor Swift","spotify:artist:06HL4z0CvFAxyc27GXpf02",1,231000,"Style",70,FALSE,"spotify:track:0ug5NqcwcFR2xrfTkc7k8e","https://api.spotify.com/v1/tracks/0ug5NqcwcFR2xrfTkc7k8e"
"51","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","The Original High (Deluxe Version)","spotify:album:3kaQUt8Mp906u1fI0LDqO6","Adam Lambert","spotify:artist:6prmLEyn4LfHlD9NnXWlf7",1,208330,"Ghost Town",65,TRUE,"spotify:track:44aN5xKL3kGHvQ5bXVk6B8","https://api.spotify.com/v1/tracks/44aN5xKL3kGHvQ5bXVk6B8"
"52","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","x (Deluxe Edition)","spotify:album:1xn54DMo2qIqBuMqHtUsFd","Ed Sheeran","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V",1,258986,"Photograph",84,FALSE,"spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL","https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL"
"53","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","In The Lonely Hour (Drowning Shadows Edition)","spotify:album:0vrWqbRQEMKqhTGcDLQK7x","Sam Smith","spotify:artist:2wY79sveU1sp5g7SokKOiI",1,219535,"Lay Me Down",76,FALSE,"spotify:track:64GRDrL1efgXclrhVCeuA0","https://api.spotify.com/v1/tracks/64GRDrL1efgXclrhVCeuA0"
"54","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","In The Lonely Hour (Drowning Shadows Edition)","spotify:album:0vrWqbRQEMKqhTGcDLQK7x","John Legend","spotify:artist:5y2Xq6xcjJb2jVM54GHK3t",1,219535,"Lay Me Down",76,FALSE,"spotify:track:64GRDrL1efgXclrhVCeuA0","https://api.spotify.com/v1/tracks/64GRDrL1efgXclrhVCeuA0"
"55","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Chaos And The Calm","spotify:album:3GqsyMrJu3o8jLiGyBsBQW","James Bay","spotify:artist:4EzkuveR9pLvDVFNx6foYD",1,260533,"Let It Go",74,FALSE,"spotify:track:3nnG7AM9QopHVPEuLX3Khk","https://api.spotify.com/v1/tracks/3nnG7AM9QopHVPEuLX3Khk"
"56","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Jamie Lawson","spotify:album:0xgnGJbAUWGc89cevj0NUh","Jamie Lawson","spotify:artist:1jhdZdzOd4TJLAHqQdkUND",1,201295,"Wasn't Expecting That",53,FALSE,"spotify:track:0DIcd7djiVGT4RYbTIlsoJ","https://api.spotify.com/v1/tracks/0DIcd7djiVGT4RYbTIlsoJ"
"57","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Cloud Nine","spotify:album:0uMIzWh1uEpHEBell4rlF8","Kygo","spotify:artist:23fqKkggKUBHNkbKtXEls4",1,271640,"Firestone",77,FALSE,"spotify:track:1I8tHoNBFTuoJAlh4hfVVE","https://api.spotify.com/v1/tracks/1I8tHoNBFTuoJAlh4hfVVE"
"58","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Cloud Nine","spotify:album:0uMIzWh1uEpHEBell4rlF8","Conrad Sewell","spotify:artist:1rw8ZTLnDHd74TWDDukjVi",1,271640,"Firestone",77,FALSE,"spotify:track:1I8tHoNBFTuoJAlh4hfVVE","https://api.spotify.com/v1/tracks/1I8tHoNBFTuoJAlh4hfVVE"
"59","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Nine Track Mind","spotify:album:5Nwsra93UQYJ6xxcjcE10x","Charlie Puth","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7",1,190453,"Marvin Gaye (feat. Meghan Trainor)",63,FALSE,"spotify:track:3rKYiySCDMUKTw5kGVVhaa","https://api.spotify.com/v1/tracks/3rKYiySCDMUKTw5kGVVhaa"
"60","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Nine Track Mind","spotify:album:5Nwsra93UQYJ6xxcjcE10x","Meghan Trainor","spotify:artist:6JL8zeS1NmiOftqZTRgdTz",1,190453,"Marvin Gaye (feat. Meghan Trainor)",63,FALSE,"spotify:track:3rKYiySCDMUKTw5kGVVhaa","https://api.spotify.com/v1/tracks/3rKYiySCDMUKTw5kGVVhaa"
"61","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Title (Deluxe)","spotify:album:5W98Ab4VvQEuFEE4TIe5fE","Meghan Trainor","spotify:artist:6JL8zeS1NmiOftqZTRgdTz",1,184226,"Dear Future Husband",72,FALSE,"spotify:track:3cU2wBxuV6nFiuf6PJZNlC","https://api.spotify.com/v1/tracks/3cU2wBxuV6nFiuf6PJZNlC"
"62","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Flashlight (From ""Pitch Perfect 2"" Soundtrack)","spotify:album:7JsgaEeIsP8gpRxmA30ErD","Jessie J","spotify:artist:2gsggkzM5R49q6jpPvazou",1,208666,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",72,FALSE,"spotify:track:4rkUEE5iTzG0szS8k8QzqR","https://api.spotify.com/v1/tracks/4rkUEE5iTzG0szS8k8QzqR"
"63","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","1989","spotify:album:5fy0X0JmZRZnVa2UEicIOl","Taylor Swift","spotify:artist:06HL4z0CvFAxyc27GXpf02",1,220440,"Wildest Dreams",75,FALSE,"spotify:track:3fVnlF4pGqWI9flVENcT28","https://api.spotify.com/v1/tracks/3fVnlF4pGqWI9flVENcT28"
"64","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","What Dreams Are Made Of","spotify:album:4AUTMNSP56xicSznzKgzjB","R. City","spotify:artist:4TH4BHy0LdBi3dpBW4P2UX",1,227480,"Locked Away (feat. Adam Levine)",73,FALSE,"spotify:track:7x5xYW5W42OGPAdHUyyguy","https://api.spotify.com/v1/tracks/7x5xYW5W42OGPAdHUyyguy"
"65","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","What Dreams Are Made Of","spotify:album:4AUTMNSP56xicSznzKgzjB","Adam Levine","spotify:artist:4bYPcJP5jwMhSivRcqie2n",1,227480,"Locked Away (feat. Adam Levine)",73,FALSE,"spotify:track:7x5xYW5W42OGPAdHUyyguy","https://api.spotify.com/v1/tracks/7x5xYW5W42OGPAdHUyyguy"
"66","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Views","spotify:album:40GMAhriYJRO1rsY4YdrZb","Drake","spotify:artist:3TVXtAsR1Inumwj472S9r4",1,267066,"Hotline Bling",77,FALSE,"spotify:track:0wwPcA6wtMf6HUMpIRdeP7","https://api.spotify.com/v1/tracks/0wwPcA6wtMf6HUMpIRdeP7"
"67","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","Pharmacy","spotify:album:4QcXq4vTVN7dFb7bZa9jG2","Galantis","spotify:artist:4sTQVOfp9vEMCemLw50sbu",1,227073,"Runaway (U & I)",75,FALSE,"spotify:track:46lFttIf5hnUZMGvjK0Wxo","https://api.spotify.com/v1/tracks/46lFttIf5hnUZMGvjK0Wxo"
"68","spotify:playlist:03vMytYzGsKy1dQkGDdiCp","The Days / Nights","spotify:album:0h2knr6qpiAq0tV5ri5JMF","Avicii","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6",1,176658,"The Nights",81,FALSE,"spotify:track:0ct6r3EGTcMLPtrXHDvVjc","https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc"
