playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:4waAzspl6A8eY3VaNh852a,So Real,spotify:album:2bO8HiXIChnnMT1UGuMUPR,Mandy Moore,spotify:artist:2LJxr7Pt3JnP60eLxwbDOu,1,233871,Candy,54,false,spotify:track:2YhE6xeWN0R9RVwEOG9lR1,https://api.spotify.com/v1/tracks/2YhE6xeWN0R9RVwEOG9lR1
spotify:playlist:4waAzspl6A8eY3VaNh852a,You Wouldn't Want Me Any Other Way,spotify:album:0mAASHVrQKaIENiHyZeYKs,Chris Franklin,spotify:artist:0x81cVSvecMHyy4mMtZDtT,1,257693,Bloke,31,true,spotify:track:5cPlWPuzNikg3xvmFPExEf,https://api.spotify.com/v1/tracks/5cPlWPuzNikg3xvmFPExEf
spotify:playlist:4waAzspl6A8eY3VaNh852a,Vitamin C,spotify:album:1LbkPqgfdATHN9nonNp1np,Vitamin C,spotify:artist:3OsUvoKmZA2gw8rETtxGlz,1,340613,Graduation (Friends Forever),56,false,spotify:track:45V4Mk7vZV2b9JfSWuUX9m,https://api.spotify.com/v1/tracks/45V4Mk7vZV2b9JfSWuUX9m
spotify:playlist:4waAzspl6A8eY3VaNh852a,Northern Star,spotify:album:6TjfhQSmmBOEwIXkoT3fdZ,Melanie C,spotify:artist:60vX3zLcdKRXvKLITVh5Df,1,254973,Never Be The Same Again - Single Mix,38,false,spotify:track:77tfHVcjhVnMI9oyL63tWW,https://api.spotify.com/v1/tracks/77tfHVcjhVnMI9oyL63tWW
spotify:playlist:4waAzspl6A8eY3VaNh852a,Northern Star,spotify:album:6TjfhQSmmBOEwIXkoT3fdZ,"Lisa ""Left Eye"" Lopes",spotify:artist:64ccradw8gAQn9gMQZmEha,1,254973,Never Be The Same Again - Single Mix,38,false,spotify:track:77tfHVcjhVnMI9oyL63tWW,https://api.spotify.com/v1/tracks/77tfHVcjhVnMI9oyL63tWW
spotify:playlist:4waAzspl6A8eY3VaNh852a,Can't Take Me Home,spotify:album:46FPTrylElX8FrcflqiR0H,P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR,1,298933,Most Girls,0,false,spotify:track:2jYDJD3CVByOe08jplCn7Y,https://api.spotify.com/v1/tracks/2jYDJD3CVByOe08jplCn7Y
spotify:playlist:4waAzspl6A8eY3VaNh852a,The Power (15 Year Anniversary Re-Issue),spotify:album:2PYf4m3Bgu4ljRACdnfMCZ,Vanessa Amorosi,spotify:artist:5M0fvL9GMc2zTuIIQwresj,1,234733,Shine,47,false,spotify:track:0w1cshxOoZvM0ZembJEEca,https://api.spotify.com/v1/tracks/0w1cshxOoZvM0ZembJEEca
spotify:playlist:4waAzspl6A8eY3VaNh852a,The Writing's On The Wall,spotify:album:283NWqNsCA9GwVHrJk59CG,Destiny's Child,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,1,230200,"Jumpin', Jumpin'",70,false,spotify:track:4pmc2AxSEq6g7hPVlJCPyP,https://api.spotify.com/v1/tracks/4pmc2AxSEq6g7hPVlJCPyP
spotify:playlist:4waAzspl6A8eY3VaNh852a,On How Life Is,spotify:album:50DkoLL4ArRVXhWx9ssQSe,Macy Gray,spotify:artist:4ylR3zwA0zaapAu94fktwa,1,239440,I Try,72,false,spotify:track:5TAf4lnZCZTLlZHNZMLFLi,https://api.spotify.com/v1/tracks/5TAf4lnZCZTLlZHNZMLFLi
spotify:playlist:4waAzspl6A8eY3VaNh852a,Sound Loaded,spotify:album:3zI9R2ktXKRwcPpZH1zpPe,Ricky Martin,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,1,280626,She Bangs - English Version,57,false,spotify:track:1uPrIHgYztXSkkcts9jet8,https://api.spotify.com/v1/tracks/1uPrIHgYztXSkkcts9jet8
spotify:playlist:4waAzspl6A8eY3VaNh852a,Don't You Worry,,Madasun,,0,243000,Don't You Worry,0,false,spotify:local:Madasun:Don%27t+You+Worry:Don%27t+You+Worry:243,
spotify:playlist:4waAzspl6A8eY3VaNh852a,Sing When You're Winning,spotify:album:11DmTQm7WPeSXih1FPuaXL,Robbie Williams,spotify:artist:2HcwFjNelS49kFbfvMxQYw,1,258560,Rock DJ,69,false,spotify:track:4pbyDPjFgfPqFTcIMC8xpK,https://api.spotify.com/v1/tracks/4pbyDPjFgfPqFTcIMC8xpK
spotify:playlist:4waAzspl6A8eY3VaNh852a,Who Let The Dogs Out,spotify:album:44UH34qoCNNfEqo0VnOkGd,Baha Men,spotify:artist:67FFKYikvTlvsPNk4NPOYJ,1,191960,Who Let The Dogs Out,36,false,spotify:track:0M14Pp5TThTSbqUPukLdmR,https://api.spotify.com/v1/tracks/0M14Pp5TThTSbqUPukLdmR
