playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,177667,7,0,4,0.223,0.815,0.518,0,0.104,-6.594,0.0897,0.877,151.891,spotify:track:1tNJrcVe6gwLEiZCtprs1u
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,173800,6,0,4,0.555,0.56,0.68,0,0.116,-7.648,0.321,0.319,89.391,spotify:track:0d2iYfpKoM0QCKvcLCkBao
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,181027,1,0,4,0.0427,0.842,0.734,0,0.106,-5.065,0.0588,0.952,137.958,spotify:track:22vgEDb5hykfaTwLuskFGD
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,197867,5,0,4,0.124,0.64,0.648,0,0.0802,-8.113,0.187,0.548,92.977,spotify:track:4evmHXcjt3bTUHD1cvny97
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,187436,1,1,4,0.0691,0.719,0.704,0,0.166,-4.724,0.0476,0.628,133.002,spotify:track:25sgk305KZfyuqVBQIahim
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,152913,10,0,4,0.0404,0.677,0.744,0.00016,0.074,-6.806,0.0295,0.631,124.08,spotify:track:1DFD5Fotzgn6yYXkYsKiGs
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,197573,0,1,4,0.051,0.901,0.4,0,0.0599,-8.575,0.126,0.346,135.984,spotify:track:6TqXcAFInzjp0bODyvrWEq
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,201661,6,1,4,0.297,0.752,0.488,0.00000911,0.0936,-7.05,0.0705,0.533,136.041,spotify:track:5p7ujcrUXASCNwRaWNHR1C
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,171030,8,1,4,0.45,0.741,0.52,0.00000197,0.222,-7.513,0.0656,0.347,102.998,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,215280,0,1,4,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,0.553,120.042,spotify:track:21jGcNKet2qwijlDFuPiPb
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,214290,5,1,4,0.191,0.687,0.792,0,0.167,-2.749,0.0452,0.671,100.015,spotify:track:2dpaYNEQHiRxtZbfNsse99
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,201287,5,1,4,0.286,0.672,0.735,0,0.242,-4.733,0.0457,0.754,115.741,spotify:track:4ofwffwvvnbSkrMSCKQDaC
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,181824,4,1,4,0.0667,0.659,0.623,0,0.582,-2.253,0.0451,0.439,88.042,spotify:track:4hPpVbbakQNv8YTHYaOJP4
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,200594,9,1,4,0.0669,0.847,0.678,0,0.274,-8.635,0.109,0.811,97.984,spotify:track:2KKijf6Ett4kmVNJze2roh
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,312820,8,1,4,0.00513,0.834,0.73,0,0.124,-3.714,0.222,0.446,155.008,spotify:track:2xLMifQCjDGFmkHkpNLD9h
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,193143,8,1,4,0.74,0.905,0.389,0.162,0.106,-14.505,0.332,0.196,120.046,spotify:track:4SSnFejRGlZikf02HLewEF
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,196493,11,1,4,0.705,0.551,0.537,0,0.0802,-7.595,0.034,0.493,126.421,spotify:track:5qrSlOut2rNAWv3ubArkNy
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,229413,0,0,4,0.0984,0.442,0.585,0.391,0.14,-10.332,0.0964,0.116,97.565,spotify:track:4T3fNx3CgwDRRYgmFCbD4J
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,196077,4,1,4,0.978,0.367,0.111,0.0000397,0.0897,-14.084,0.0972,0.198,82.642,spotify:track:43zdsphuZLzwA9k4DJhU0I
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,203418,7,0,4,0.0169,0.596,0.854,0,0.124,-5.114,0.463,0.152,120.274,spotify:track:2iUXsYOEPhVqEBwsqP70rE
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,173325,4,0,4,0.11,0.715,0.624,0,0.123,-3.046,0.114,0.412,158.087,spotify:track:5qmq61DAAOUaW8AUo8xKhh
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,193450,2,1,4,0.738,0.817,0.375,0.00876,0.104,-10.21,0.152,0.495,92.472,spotify:track:0vHmuAr3iAuGBAqMmraa05
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,163216,1,1,4,0.0476,0.752,0.764,0.0000944,0.0543,-4.399,0.038,0.582,121.958,spotify:track:1Cae1YAN5Tf4CPfnWz3nmj
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,207320,1,1,4,0.229,0.717,0.653,0,0.101,-5.634,0.0658,0.412,106.966,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,174853,5,1,4,0.456,0.548,0.653,0,0.103,-3.875,0.081,0.163,150.068,spotify:track:0t3ZvGKlmYmVsDzBJAXK8C
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,171437,5,1,4,0.0707,0.653,0.709,0,0.0878,-3.19,0.0656,0.671,87.01,spotify:track:59zWQR2wQnSlkG4xTTwY9d
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,190800,2,1,4,0.524,0.692,0.809,0,0.147,-4.198,0.0602,0.864,123.911,spotify:track:6LsAAHotRLMOHfCsSfYCsz
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,215653,4,0,4,0.292,0.778,0.466,0,0.0636,-7.694,0.0446,0.456,138.013,spotify:track:4sCyQKAl78t9LYVTZinSEY
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,200756,9,1,4,0.44,0.485,0.461,0,0.232,-5.646,0.0444,0.324,87.009,spotify:track:2grAr8pWMuLWn8ZYEE9wDV
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,181859,2,0,4,0.043,0.698,0.66,0,0.186,-5.429,0.083,0.351,119.214,spotify:track:3k8YdriWQss396m6Q6rTzV
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,217467,7,0,4,0.00987,0.601,0.794,0.00000136,0.388,-5.844,0.0671,0.244,114.066,spotify:track:27rdGxbavYJeBphck5MZAF
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,162583,11,1,4,0.176,0.599,0.733,0,0.242,-7.058,0.203,0.534,102.211,spotify:track:2iwS33Jfev1QBiuhWVWZHY
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,194773,0,0,4,0.27,0.763,0.874,0,0.159,-5.792,0.0564,0.755,131.038,spotify:track:26gEW3DUEK0n8n5fvnYrPE
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,190440,5,0,4,0.0421,0.726,0.554,0,0.106,-5.29,0.0917,0.335,169.999,spotify:track:4kV4N9D1iKVxx1KLvtTpjS
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,211453,10,1,4,0.526,0.613,0.739,0,0.149,-6.478,0.0311,0.712,104.966,spotify:track:6FYbr9QzRoZPh0Re8lDO9z
